epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.2477,1.886,2.59306,1.90209,0.12314,0.28521,0.10076,0.03387,2.58203,4.03272,3.03681,0.00066335,0.00066335,0.00066335
2,105.686,1.97021,2.45484,1.94153,0.24777,0.24296,0.15445,0.05314,2.22973,3.57501,2.62289,0.00131685,0.00131685,0.00131685
3,157.37,1.93058,2.39866,1.90672,0.16653,0.22183,0.11745,0.04111,2.37462,4.67973,2.60122,0.00195715,0.00195715,0.00195715
4,208.741,1.90496,2.33323,1.87336,0.2438,0.30634,0.17853,0.0627,2.23626,3.37565,2.47478,0.0019406,0.0019406,0.0019406
5,260.249,1.836,2.2619,1.81128,0.34976,0.26056,0.22581,0.09139,2.03324,2.56826,2.35988,0.0019208,0.0019208,0.0019208
6,311.618,1.79699,2.2187,1.78707,0.41453,0.34859,0.29706,0.12488,2.0216,2.3857,2.29214,0.001901,0.001901,0.001901
7,363.052,1.76336,2.1816,1.76785,0.40696,0.33803,0.28734,0.10453,2.19727,2.33127,2.37855,0.0018812,0.0018812,0.0018812
8,414.416,1.7306,2.10933,1.72235,0.25187,0.34859,0.21025,0.09998,1.92692,2.59696,2.06896,0.0018614,0.0018614,0.0018614
9,465.731,1.72117,2.08203,1.73912,0.44978,0.3454,0.31162,0.12238,1.94825,2.32569,2.17117,0.0018416,0.0018416,0.0018416
10,517.119,1.68759,2.05556,1.70437,0.2756,0.24648,0.18055,0.07261,2.12679,2.61595,2.36237,0.0018218,0.0018218,0.0018218
11,568.539,1.66775,2.03352,1.68525,0.39604,0.34507,0.28146,0.11994,1.90318,2.32827,2.1231,0.001802,0.001802,0.001802
12,619.991,1.67205,2.02393,1.68315,0.31295,0.3838,0.26969,0.10317,2.05632,2.47449,2.44688,0.0017822,0.0017822,0.0017822
13,671.325,1.63179,2.00013,1.67064,0.4074,0.32746,0.31034,0.14493,1.82,2.22238,2.08399,0.0017624,0.0017624,0.0017624
14,722.821,1.62312,1.99545,1.66043,0.37679,0.43662,0.32947,0.15503,1.80793,2.14849,2.02698,0.0017426,0.0017426,0.0017426
15,774.263,1.61094,1.96427,1.64587,0.50459,0.37324,0.38064,0.18805,1.74692,1.99425,2.02837,0.0017228,0.0017228,0.0017228
16,825.721,1.59391,1.9304,1.63276,0.40982,0.44014,0.3667,0.16649,1.8188,2.14742,2.09815,0.001703,0.001703,0.001703
17,877.17,1.59733,1.90319,1.63336,0.43157,0.40368,0.35184,0.1743,1.70238,2.16699,1.976,0.0016832,0.0016832,0.0016832
18,928.681,1.5607,1.88148,1.61222,0.45084,0.40845,0.37552,0.16886,1.84316,2.01164,2.02287,0.0016634,0.0016634,0.0016634
19,980.04,1.54969,1.87722,1.62061,0.38858,0.41197,0.3652,0.16074,1.85872,2.09048,2.18065,0.0016436,0.0016436,0.0016436
20,1031.61,1.55403,1.85015,1.61213,0.50643,0.45884,0.42533,0.20957,1.71007,1.86807,1.95824,0.0016238,0.0016238,0.0016238
21,1083.21,1.55596,1.85604,1.60965,0.44544,0.42606,0.40714,0.20193,1.73501,1.9037,2.02239,0.001604,0.001604,0.001604
22,1134.53,1.55765,1.85597,1.60179,0.41363,0.45702,0.41015,0.2041,1.6865,1.93719,1.8818,0.0015842,0.0015842,0.0015842
23,1186.1,1.53841,1.81683,1.5945,0.45658,0.47887,0.40059,0.20492,1.65841,1.89642,1.88106,0.0015644,0.0015644,0.0015644
24,1237.53,1.53977,1.8136,1.5877,0.48106,0.3838,0.36149,0.1777,1.69904,2.03347,1.96342,0.0015446,0.0015446,0.0015446
25,1288.9,1.52578,1.7995,1.58369,0.40496,0.4507,0.38795,0.20181,1.73125,1.90882,1.93954,0.0015248,0.0015248,0.0015248
26,1340.27,1.52273,1.80509,1.57387,0.50955,0.48239,0.47024,0.23914,1.6905,1.76196,1.93357,0.001505,0.001505,0.001505
27,1391.51,1.50484,1.76983,1.56145,0.46062,0.51056,0.44028,0.23515,1.60753,1.91321,1.84905,0.0014852,0.0014852,0.0014852
28,1442.85,1.50702,1.79063,1.57196,0.42373,0.49648,0.40145,0.20793,1.67815,1.82022,1.886,0.0014654,0.0014654,0.0014654
29,1494.15,1.48633,1.74777,1.56078,0.49964,0.46831,0.44429,0.23202,1.67271,1.86968,1.9434,0.0014456,0.0014456,0.0014456
30,1545.62,1.47187,1.75317,1.55566,0.44397,0.48944,0.41758,0.21506,1.61985,1.87628,1.84686,0.0014258,0.0014258,0.0014258
31,1597.04,1.47945,1.75629,1.55106,0.48835,0.49296,0.44874,0.23122,1.68618,1.83087,1.96074,0.001406,0.001406,0.001406
32,1648.47,1.4688,1.73766,1.55476,0.56391,0.44167,0.46159,0.23463,1.67433,1.71611,1.98392,0.0013862,0.0013862,0.0013862
33,1699.94,1.48743,1.7222,1.55339,0.53992,0.45423,0.44887,0.23434,1.60015,1.79423,1.91754,0.0013664,0.0013664,0.0013664
34,1751.23,1.47448,1.71609,1.54365,0.51475,0.48239,0.47561,0.24813,1.71582,1.72211,1.9725,0.0013466,0.0013466,0.0013466
35,1802.77,1.46613,1.71919,1.5449,0.46651,0.48239,0.45957,0.23606,1.67537,1.75777,1.97515,0.0013268,0.0013268,0.0013268
36,1854.28,1.45653,1.68753,1.53875,0.52022,0.47887,0.46926,0.24262,1.68532,1.74639,1.94049,0.001307,0.001307,0.001307
37,1905.71,1.46775,1.69943,1.54913,0.56022,0.46201,0.45491,0.23861,1.63852,1.78921,1.89234,0.0012872,0.0012872,0.0012872
38,1957.23,1.46215,1.68876,1.52213,0.53959,0.44014,0.44891,0.2468,1.60525,1.70153,1.88196,0.0012674,0.0012674,0.0012674
39,2008.69,1.41952,1.65035,1.51594,0.52371,0.4331,0.42837,0.22533,1.70656,1.78404,1.95024,0.0012476,0.0012476,0.0012476
40,2060.08,1.4269,1.65805,1.51069,0.56275,0.47583,0.47006,0.25322,1.59769,1.73399,1.87871,0.0012278,0.0012278,0.0012278
41,2111.62,1.41263,1.61401,1.499,0.49925,0.48446,0.46851,0.24125,1.61178,1.70803,1.90108,0.001208,0.001208,0.001208
